IG,JG
1187,1
1188,1
1189,1
1190,1
1191,1
1185,2
1186,2
1187,2
1,3
1183,3
1184,3
1185,3
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
1182,4
1183,4
19,5
1181,5
1182,5
19,6
1180,6
1181,6
19,7
1180,7
19,8
1178,8
1179,8
1180,8
18,9
19,9
1177,9
1178,9
18,10
1176,10
1177,10
17,11
18,11
1174,11
1175,11
1176,11
17,12
1173,12
1174,12
17,13
1171,13
1172,13
1173,13
17,14
1170,14
1171,14
17,15
1168,15
1169,15
1170,15
17,16
18,16
1168,16
18,17
19,17
20,17
21,17
22,17
23,17
24,17
25,17
26,17
1167,17
1168,17
26,18
1166,18
1167,18
26,19
27,19
1164,19
1165,19
1166,19
27,20
28,20
1164,20
28,21
1163,21
1164,21
28,22
1162,22
1163,22
28,23
1161,23
1162,23
28,24
1161,24
28,25
1161,25
28,26
1160,26
1161,26
28,27
40,27
41,27
42,27
43,27
44,27
45,27
1160,27
28,28
38,28
39,28
40,28
45,28
46,28
1160,28
28,29
29,29
35,29
36,29
37,29
38,29
46,29
47,29
48,29
1160,29
29,30
30,30
31,30
32,30
33,30
34,30
35,30
48,30
49,30
1160,30
49,31
50,31
1159,31
1160,31
50,32
51,32
52,32
1159,32
52,33
53,33
1159,33
53,34
54,34
1159,34
54,35
55,35
78,35
79,35
80,35
81,35
82,35
83,35
84,35
1159,35
55,36
56,36
57,36
75,36
76,36
77,36
78,36
84,36
85,36
86,36
87,36
1159,36
57,37
58,37
71,37
72,37
73,37
74,37
75,37
87,37
88,37
1159,37
58,38
59,38
60,38
61,38
62,38
63,38
65,38
66,38
67,38
68,38
69,38
70,38
71,38
88,38
89,38
1159,38
63,39
64,39
65,39
89,39
90,39
1159,39
90,40
91,40
1159,40
91,41
92,41
94,41
95,41
96,41
97,41
98,41
99,41
100,41
101,41
102,41
103,41
1159,41
92,42
93,42
94,42
103,42
104,42
105,42
106,42
1159,42
1160,42
106,43
107,43
108,43
1160,43
108,44
109,44
1160,44
109,45
1160,45
109,46
1160,46
109,47
110,47
1160,47
110,48
1160,48
110,49
1160,49
110,50
1160,50
110,51
111,51
1160,51
111,52
1160,52
111,53
1160,53
111,54
1160,54
111,55
1160,55
111,56
1159,56
1160,56
111,57
1159,57
111,58
1158,58
1159,58
111,59
1157,59
1158,59
111,60
1157,60
111,61
112,61
1156,61
1157,61
112,62
1156,62
112,63
1155,63
1156,63
112,64
113,64
1155,64
113,65
114,65
115,65
203,65
204,65
205,65
1154,65
1155,65
115,66
116,66
117,66
200,66
201,66
202,66
203,66
205,66
206,66
1154,66
117,67
118,67
119,67
120,67
121,67
122,67
123,67
124,67
199,67
200,67
206,67
207,67
1153,67
1154,67
124,68
125,68
126,68
127,68
128,68
196,68
197,68
198,68
199,68
207,68
1153,68
128,69
129,69
130,69
131,69
132,69
193,69
194,69
195,69
196,69
207,69
208,69
1152,69
1153,69
132,70
133,70
134,70
135,70
136,70
184,70
185,70
186,70
187,70
188,70
189,70
190,70
191,70
192,70
193,70
208,70
209,70
1152,70
136,71
137,71
138,71
139,71
140,71
181,71
182,71
183,71
184,71
209,71
210,71
1151,71
1152,71
140,72
141,72
142,72
143,72
144,72
178,72
179,72
180,72
181,72
210,72
211,72
1151,72
144,73
145,73
146,73
147,73
148,73
149,73
150,73
151,73
177,73
178,73
211,73
212,73
1151,73
151,74
152,74
153,74
154,74
155,74
156,74
157,74
158,74
159,74
160,74
177,74
212,74
213,74
1150,74
1151,74
160,75
161,75
162,75
163,75
164,75
165,75
166,75
167,75
168,75
175,75
176,75
177,75
213,75
214,75
215,75
1150,75
168,76
169,76
170,76
171,76
172,76
173,76
174,76
175,76
215,76
216,76
1150,76
216,77
1150,77
216,78
1149,78
1150,78
216,79
217,79
1149,79
217,80
218,80
1149,80
218,81
1148,81
1149,81
218,82
1148,82
218,83
219,83
1147,83
1148,83
219,84
1146,84
1147,84
219,85
1145,85
1146,85
219,86
220,86
1144,86
1145,86
220,87
1143,87
1144,87
219,88
220,88
1142,88
1143,88
217,89
218,89
219,89
1141,89
1142,89
215,90
216,90
217,90
1141,90
213,91
214,91
215,91
1140,91
1141,91
210,92
211,92
212,92
213,92
1140,92
210,93
1139,93
1140,93
210,94
1139,94
210,95
1139,95
210,96
1139,96
210,97
1139,97
210,98
1139,98
210,99
1139,99
210,100
1139,100
1646,100
1647,100
1648,100
1649,100
1650,100
1651,100
1652,100
210,101
1139,101
1645,101
1646,101
210,102
211,102
1139,102
1644,102
1645,102
211,103
1139,103
1140,103
1643,103
1644,103
211,104
212,104
1140,104
1643,104
212,105
213,105
214,105
215,105
1140,105
1643,105
215,106
216,106
217,106
218,106
219,106
1140,106
1643,106
219,107
220,107
1140,107
1141,107
1642,107
1643,107
220,108
221,108
1141,108
1641,108
1642,108
221,109
1141,109
1641,109
221,110
222,110
1141,110
1142,110
1640,110
1641,110
222,111
1142,111
1640,111
222,112
223,112
224,112
225,112
1142,112
1639,112
1640,112
225,113
226,113
1142,113
1639,113
226,114
227,114
1142,114
1638,114
1639,114
227,115
1142,115
1637,115
1638,115
227,116
228,116
1142,116
1637,116
228,117
1142,117
1636,117
1637,117
228,118
229,118
230,118
1142,118
1635,118
1636,118
230,119
231,119
232,119
1142,119
1143,119
1633,119
1634,119
1635,119
232,120
233,120
1143,120
1632,120
1633,120
233,121
234,121
1143,121
1630,121
1631,121
1632,121
234,122
235,122
1142,122
1143,122
1629,122
1630,122
235,123
1142,123
1628,123
1629,123
235,124
1142,124
1628,124
235,125
1142,125
1628,125
235,126
1142,126
1628,126
235,127
1142,127
1628,127
1629,127
235,128
1141,128
1142,128
1629,128
1630,128
1631,128
1632,128
1633,128
235,129
1141,129
1633,129
1634,129
1635,129
1636,129
1637,129
235,130
236,130
1141,130
1637,130
1638,130
236,131
237,131
238,131
1140,131
1141,131
1638,131
238,132
239,132
1140,132
1638,132
239,133
240,133
241,133
1140,133
1638,133
1639,133
241,134
242,134
1139,134
1140,134
1639,134
242,135
243,135
1139,135
1638,135
1639,135
243,136
244,136
1139,136
1638,136
244,137
245,137
246,137
1138,137
1139,137
1638,137
246,138
247,138
1138,138
1638,138
247,139
248,139
1138,139
1638,139
248,140
1137,140
1138,140
1638,140
248,141
249,141
1137,141
1638,141
249,142
250,142
1136,142
1137,142
1637,142
1638,142
250,143
251,143
1136,143
1637,143
251,144
1135,144
1136,144
1637,144
251,145
252,145
1135,145
1637,145
252,146
253,146
1134,146
1135,146
1636,146
1637,146
253,147
1133,147
1134,147
1636,147
253,148
254,148
1133,148
1636,148
254,149
